Component, GAV, License, URL, Scope, Path
Atlassian Plugins Schema,com.atlassian.plugins:atlassian-plugins-schema:jar:3.2.5,BSD License,http://docs.atlassian.com/atlassian-plugins-schema/3.2.5/atlassian-plugins-schema,binary,
Atlassian Pretty URLs Plugin,com.atlassian.prettyurls:atlassian-pretty-urls-plugin:atlassian-plugin:1.11.0,BSD License,http://www.atlassian.com/public-pom/atlassian-pretty-urls-parent/atlassian-pretty-urls-plugin,binary,
Atlassian Profiling,com.atlassian.profiling:atlassian-profiling:jar:1.9,BSD License,https://maven.atlassian.com/public/licenses/license.txt,binary,
Atlassian REST - Common,com.atlassian.plugins.rest:atlassian-rest-common:jar:2.9.10,BSD License,http://www.atlassian.com/public-pom/atlassian-rest-parent/atlassian-rest-common,binary,
Atlassian REST - Doclet,com.atlassian.plugins.rest:atlassian-rest-doclet:jar:2.9.10,BSD License,http://www.atlassian.com/public-pom/atlassian-rest-parent/atlassian-rest-doclet,binary,
Atlassian REST - Module Types,com.atlassian.plugins.rest:atlassian-rest-module:atlassian-plugin:2.9.10,BSD License,http://www.atlassian.com/public-pom/atlassian-rest-parent/atlassian-rest-module,binary,
Atlassian Seraph,com.atlassian.seraph:atlassian-seraph:jar:2.6.4,BSD License,http://www.atlassian.com/public-pom/atlassian-seraph,binary,
Atlassian Soy - API,com.atlassian.soy:soy-template-renderer-api:jar:2.7.0,BSD,http://www.atlassian.com/public-pom/soy-templates-parent/soy-template-renderer-api,binary,
Atlassian Soy - Core,com.atlassian.soy:atlassian-soy-core:jar:2.7.0,BSD,http://www.atlassian.com/public-pom/soy-templates-parent/atlassian-soy-core,binary,
Atlassian Soy - Plugin,com.atlassian.soy:soy-template-plugin:atlassian-plugin:2.7.0,BSD,http://www.atlassian.com/public-pom/soy-templates-parent/soy-template-plugin,binary,
Atlassian Spring Scanner Annotation Processor,com.atlassian.plugin:atlassian-spring-scanner-processor:jar:1.2.2,Apache License 2.0,http://www.atlassian.com/public-pom/atlassian-spring-scanner-parent/atlassian-spring-scanner-processor,binary,
Atlassian Spring Scanner Annotations,com.atlassian.plugin:atlassian-spring-scanner-annotation:jar:1.2.0,Apache License 2.0,http://www.atlassian.com/public-pom/atlassian-spring-scanner-parent/atlassian-spring-scanner-annotation,binary,com.atlassian.jira.plugins:jira-importers-plugin:6.2.8/META-INF/lib/atlassian-spring-scanner-annotation-1.2.0.jar/META-INF/maven/com.atlassian.plugin/atlassian-spring-scanner-annotation
Atlassian Spring Scanner Annotations,com.atlassian.plugin:atlassian-spring-scanner-annotation:jar:1.2.1,Apache License 2.0,http://www.atlassian.com/public-pom/atlassian-spring-scanner-parent/atlassian-spring-scanner-annotation,binary,com.atlassian.jira.plugins:jira-auditing-plugin:1.4.13/META-INF/lib/atlassian-spring-scanner-annotation-1.2.1.jar/META-INF/maven/com.atlassian.plugin/atlassian-spring-scanner-annotation
Atlassian Spring Scanner Annotations,com.atlassian.plugin:atlassian-spring-scanner-annotation:jar:1.2.2,Apache License 2.0,http://www.atlassian.com/public-pom/atlassian-spring-scanner-parent/atlassian-spring-scanner-annotation,binary,
Atlassian Spring Scanner Annotations,com.atlassian.plugin:atlassian-spring-scanner-annotation:jar:1.2.3,Apache License 2.0,http://www.atlassian.com/public-pom/atlassian-spring-scanner-parent/atlassian-spring-scanner-annotation,binary,com.atlassian.jira.plugins:jira-development-integration-plugin:2.2.15/META-INF/maven/com.atlassian.plugin/atlassian-spring-scanner-annotation
